,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
thermal generator1,200.0,240.45933278285628,200.0,222.6,435.5200000000003,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,328.2,244.1,386.2,447.4800000000006,460.0,460.0,372.72421052631574,228.74864433811808,288.0
thermal generator2,200.0,200.0,200.0,200.0,200.0,240.0,273.3800000000001,235.16000000000008,326.8399999999999,400.0,400.0,400.0,400.0,353.9200000000001,248.58000000000015,200.0,200.0,200.0,200.0,375.8,329.82000000000016,200.0,200.0,200.0
thermal generator3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,204.68000000000006,266.55999999999995,338.3600000000001,235.68000000000006,150.0,150.0,150.0,150.0,150.0,150.0,175.0,150.0,150.0,150.0,150.0
thermal generator4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal generator5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydropower generator,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0
ESS charge,-0.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.684210526315791,-56.54864433811805,-200.0
ESS discharge,190.0,16.140667217143847,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind power,112.8,142.2,112.8,108.6,122.4,156.0,174.0,111.6,118.0,89.0,77.0,54.0,52.0,80.0,82.0,107.0,144.0,111.0,163.0,132.6,129.0,144.0,133.8,114.0
photovoltaic,-0.0,-0.0,-0.0,-0.0,-0.0,2.2,5.5,10.2,17.16,19.2,23.4,25.56,25.2,24.96,24.3,24.720000000000002,21.9,16.8,9.6,6.6,1.1,-0.0,-0.0,-0.0
